,-1,1,neg_over_pos,pos_over_neg
-,0.00649350649351,0.004995004995,1.3,0.769230769231
--,0.0404595404595,0.048951048951,0.826530612245,1.20987654321
--with,0.000999000999001,0.000999000999001,1.0,1.0
-doing-it-for,0.000999000999001,0.000999000999001,1.0,1.0
-greaseballs,0.000999000999001,0.000999000999001,1.0,1.0
-inevitable,0.000999000999001,0.000999000999001,1.0,1.0
a-knocking,0.000999000999001,0.000999000999001,1.0,1.0
a-team,0.000999000999001,0.000999000999001,1.0,1.0
aaliyah,0.000999000999001,0.000999000999001,1.0,1.0
aan,0.000999000999001,0.000999000999001,1.0,1.0
abbas,0.000999000999001,0.000999000999001,1.0,1.0
abbass,0.000999000999001,0.000999000999001,1.0,1.0
abbreviated,0.0014985014985,0.000999000999001,1.5,0.666666666667
abc,0.000999000999001,0.000999000999001,1.0,1.0
abel,0.000999000999001,0.000999000999001,1.0,1.0
aberration,0.000999000999001,0.000999000999001,1.0,1.0
abhorrent,0.000999000999001,0.000999000999001,1.0,1.0
abilities,0.0014985014985,0.000999000999001,1.5,0.666666666667
ability,0.000999000999001,0.0034965034965,0.285714285714,3.5
able,0.001998001998,0.0024975024975,0.8,1.25
ably,0.000999000999001,0.000999000999001,1.0,1.0
abomination,0.000999000999001,0.000999000999001,1.0,1.0
aborbing,0.000999000999001,0.000999000999001,1.0,1.0
above-average,0.000999000999001,0.000999000999001,1.0,1.0
abrams,0.000999000999001,0.000999000999001,1.0,1.0
abridged,0.000999000999001,0.000999000999001,1.0,1.0
absence,0.000999000999001,0.0014985014985,0.666666666667,1.5
absent,0.0014985014985,0.000999000999001,1.5,0.666666666667
absolute,0.0014985014985,0.0014985014985,1.0,1.0
absolutely,0.001998001998,0.002997002997,0.666666666667,1.5
absorbing,0.000999000999001,0.00599400599401,0.166666666667,6.0
absorbs,0.000999000999001,0.000999000999001,1.0,1.0
abstract,0.000999000999001,0.000999000999001,1.0,1.0
absurd,0.0014985014985,0.0014985014985,1.0,1.0
absurdist,0.000999000999001,0.002997002997,0.333333333333,3.0
absurdities,0.0014985014985,0.000999000999001,1.5,0.666666666667
absurdity,0.001998001998,0.0014985014985,1.33333333333,0.75
absurdly,0.0014985014985,0.000999000999001,1.5,0.666666666667
abundance,0.000999000999001,0.000999000999001,1.0,1.0
abundantly,0.000999000999001,0.000999000999001,1.0,1.0
aburrido,0.000999000999001,0.000999000999001,1.0,1.0
abuse,0.000999000999001,0.000999000999001,1.0,1.0
abusers,0.000999000999001,0.000999000999001,1.0,1.0
abuses,0.000999000999001,0.0014985014985,0.666666666667,1.5
academic,0.000999000999001,0.000999000999001,1.0,1.0
academy,0.0014985014985,0.000999000999001,1.5,0.666666666667
accelerated,0.000999000999001,0.000999000999001,1.0,1.0
accent,0.000999000999001,0.000999000999001,1.0,1.0
accents,0.001998001998,0.000999000999001,2.0,0.5
accept,0.000999000999001,0.000999000999001,1.0,1.0
acceptable,0.0014985014985,0.000999000999001,1.5,0.666666666667
acceptance,0.000999000999001,0.0014985014985,0.666666666667,1.5
accepts,0.000999000999001,0.000999000999001,1.0,1.0
accessible,0.0014985014985,0.0034965034965,0.428571428571,2.33333333333
accidental,0.000999000999001,0.000999000999001,1.0,1.0
acclaim,0.000999000999001,0.000999000999001,1.0,1.0
acclaimed,0.000999000999001,0.000999000999001,1.0,1.0
accompanies,0.000999000999001,0.000999000999001,1.0,1.0
accompany,0.000999000999001,0.000999000999001,1.0,1.0
accompanying,0.0014985014985,0.000999000999001,1.5,0.666666666667
accomplished,0.000999000999001,0.0034965034965,0.285714285714,3.5
accomplishes,0.000999000999001,0.000999000999001,1.0,1.0
accomplishment,0.000999000999001,0.0014985014985,0.666666666667,1.5
according,0.0014985014985,0.000999000999001,1.5,0.666666666667
accorsi,0.000999000999001,0.000999000999001,1.0,1.0
account,0.000999000999001,0.0024975024975,0.4,2.5
accumulate,0.000999000999001,0.000999000999001,1.0,1.0
accumulated,0.0014985014985,0.000999000999001,1.5,0.666666666667
accumulates,0.000999000999001,0.000999000999001,1.0,1.0
accuracy,0.000999000999001,0.0014985014985,0.666666666667,1.5
accurate,0.000999000999001,0.0014985014985,0.666666666667,1.5
accurately,0.000999000999001,0.000999000999001,1.0,1.0
aceitou,0.000999000999001,0.000999000999001,1.0,1.0
achieve,0.0014985014985,0.000999000999001,1.5,0.666666666667
achieved,0.000999000999001,0.000999000999001,1.0,1.0
achievement,0.0014985014985,0.0014985014985,1.0,1.0
achieves,0.0014985014985,0.0034965034965,0.428571428571,2.33333333333
achieving,0.000999000999001,0.000999000999001,1.0,1.0
aching,0.000999000999001,0.000999000999001,1.0,1.0
achingly,0.0014985014985,0.000999000999001,1.5,0.666666666667
acid,0.000999000999001,0.0014985014985,0.666666666667,1.5
acidic,0.000999000999001,0.000999000999001,1.0,1.0
acidity,0.000999000999001,0.000999000999001,1.0,1.0
acknowledges,0.000999000999001,0.000999000999001,1.0,1.0
acknowledging,0.000999000999001,0.000999000999001,1.0,1.0
acquainted,0.000999000999001,0.000999000999001,1.0,1.0
across,0.0034965034965,0.002997002997,1.16666666667,0.857142857143
act,0.0044955044955,0.0034965034965,1.28571428571,0.777777777778
acted,0.0034965034965,0.00649350649351,0.538461538462,1.85714285714
acting,0.011988011988,0.00899100899101,1.33333333333,0.75
acting-workshop,0.000999000999001,0.000999000999001,1.0,1.0
action,0.015984015984,0.0104895104895,1.52380952381,0.65625
action-comedy,0.0014985014985,0.000999000999001,1.5,0.666666666667
action-filled,0.000999000999001,0.000999000999001,1.0,1.0
action-packed,0.000999000999001,0.000999000999001,1.0,1.0
actioner,0.000999000999001,0.000999000999001,1.0,1.0
actions,0.000999000999001,0.001998001998,0.5,2.0
activate,0.000999000999001,0.000999000999001,1.0,1.0
activities,0.000999000999001,0.000999000999001,1.0,1.0
activity,0.000999000999001,0.000999000999001,1.0,1.0
actor,0.003996003996,0.00699300699301,0.571428571429,1.75
actorish,0.000999000999001,0.000999000999001,1.0,1.0
actors,0.011988011988,0.00699300699301,1.71428571429,0.583333333333
actress,0.002997002997,0.0034965034965,0.857142857143,1.16666666667
actress-producer,0.000999000999001,0.000999000999001,1.0,1.0
actresses,0.001998001998,0.000999000999001,2.0,0.5
acts,0.0014985014985,0.0014985014985,1.0,1.0
actual,0.001998001998,0.0014985014985,1.33333333333,0.75
actually,0.00849150849151,0.0044955044955,1.88888888889,0.529411764706
acute,0.000999000999001,0.000999000999001,1.0,1.0
adam,0.0034965034965,0.000999000999001,3.5,0.285714285714
adams,0.001998001998,0.000999000999001,2.0,0.5
adaptation,0.003996003996,0.0034965034965,1.14285714286,0.875
adaptations,0.000999000999001,0.0014985014985,0.666666666667,1.5
adapted,0.000999000999001,0.000999000999001,1.0,1.0
adapting,0.000999000999001,0.000999000999001,1.0,1.0
add,0.004995004995,0.002997002997,1.66666666667,0.6
added,0.000999000999001,0.000999000999001,1.0,1.0
addessi,0.000999000999001,0.000999000999001,1.0,1.0
addict,0.000999000999001,0.000999000999001,1.0,1.0
addicted,0.000999000999001,0.000999000999001,1.0,1.0
addiction,0.000999000999001,0.000999000999001,1.0,1.0
adding,0.000999000999001,0.000999000999001,1.0,1.0
addition,0.0014985014985,0.001998001998,0.75,1.33333333333
additional,0.000999000999001,0.000999000999001,1.0,1.0
addresses,0.000999000999001,0.0014985014985,0.666666666667,1.5
adds,0.000999000999001,0.000999000999001,1.0,1.0
adept,0.000999000999001,0.000999000999001,1.0,1.0
adequate,0.000999000999001,0.000999000999001,1.0,1.0
adequately,0.000999000999001,0.000999000999001,1.0,1.0
administration,0.000999000999001,0.000999000999001,1.0,1.0
admirable,0.0014985014985,0.001998001998,0.75,1.33333333333
admirably,0.000999000999001,0.0014985014985,0.666666666667,1.5
admire,0.001998001998,0.0024975024975,0.8,1.25
admired,0.000999000999001,0.0014985014985,0.666666666667,1.5
admiring,0.000999000999001,0.000999000999001,1.0,1.0
admission,0.0014985014985,0.000999000999001,1.5,0.666666666667
admit,0.0014985014985,0.000999000999001,1.5,0.666666666667
admitted,0.000999000999001,0.000999000999001,1.0,1.0
admittedly,0.000999000999001,0.0014985014985,0.666666666667,1.5
adobo,0.000999000999001,0.000999000999001,1.0,1.0
adolescence,0.000999000999001,0.000999000999001,1.0,1.0
adolescent,0.000999000999001,0.002997002997,0.333333333333,3.0
adopt,0.000999000999001,0.000999000999001,1.0,1.0
adoration,0.000999000999001,0.000999000999001,1.0,1.0
adored,0.000999000999001,0.000999000999001,1.0,1.0
adorned,0.000999000999001,0.000999000999001,1.0,1.0
adrenalized,0.000999000999001,0.000999000999001,1.0,1.0
adrian,0.000999000999001,0.000999000999001,1.0,1.0
adroitly,0.000999000999001,0.001998001998,0.5,2.0
adult,0.0024975024975,0.002997002997,0.833333333333,1.2
adultery,0.000999000999001,0.000999000999001,1.0,1.0
adulthood,0.000999000999001,0.000999000999001,1.0,1.0
adults,0.0044955044955,0.003996003996,1.125,0.888888888889
advance,0.001998001998,0.000999000999001,2.0,0.5
advanced,0.000999000999001,0.000999000999001,1.0,1.0
adventure,0.001998001998,0.004995004995,0.4,2.5
adventures,0.0014985014985,0.000999000999001,1.5,0.666666666667
adventurous,0.000999000999001,0.0014985014985,0.666666666667,1.5
advice,0.001998001998,0.000999000999001,2.0,0.5
advises,0.000999000999001,0.000999000999001,1.0,1.0
aesthetic,0.0014985014985,0.0014985014985,1.0,1.0
aesthetics,0.000999000999001,0.000999000999001,1.0,1.0
affable,0.000999000999001,0.000999000999001,1.0,1.0
affair,0.003996003996,0.0014985014985,2.66666666667,0.375
affairs,0.000999000999001,0.000999000999001,1.0,1.0
affectation,0.000999000999001,0.000999000999001,1.0,1.0
affected,0.0014985014985,0.000999000999001,1.5,0.666666666667
affecting,0.000999000999001,0.004995004995,0.2,5.0
affection,0.0014985014985,0.003996003996,0.375,2.66666666667
affectionate,0.000999000999001,0.000999000999001,1.0,1.0
affectionately,0.000999000999001,0.000999000999001,1.0,1.0
affirmation,0.000999000999001,0.000999000999001,1.0,1.0
affirmational,0.000999000999001,0.000999000999001,1.0,1.0
affleck,0.001998001998,0.000999000999001,2.0,0.5
afflicts,0.000999000999001,0.000999000999001,1.0,1.0
affluent,0.000999000999001,0.000999000999001,1.0,1.0
afford,0.000999000999001,0.000999000999001,1.0,1.0
affords,0.000999000999001,0.000999000999001,1.0,1.0
afghan,0.000999000999001,0.000999000999001,1.0,1.0
afghani,0.000999000999001,0.000999000999001,1.0,1.0
aficionados,0.000999000999001,0.000999000999001,1.0,1.0
afloat,0.000999000999001,0.0014985014985,0.666666666667,1.5
afraid,0.001998001998,0.0014985014985,1.33333333333,0.75
afresh,0.000999000999001,0.000999000999001,1.0,1.0
africa,0.000999000999001,0.000999000999001,1.0,1.0
african,0.000999000999001,0.000999000999001,1.0,1.0
african-americans,0.000999000999001,0.000999000999001,1.0,1.0
after-hours,0.000999000999001,0.000999000999001,1.0,1.0
after-school,0.0034965034965,0.000999000999001,3.5,0.285714285714
afternoon,0.000999000999001,0.000999000999001,1.0,1.0
afterthought,0.000999000999001,0.000999000999001,1.0,1.0
afterwards,0.000999000999001,0.000999000999001,1.0,1.0
again-courage,0.000999000999001,0.000999000999001,1.0,1.0
age,0.0024975024975,0.0034965034965,0.714285714286,1.4
age-inspired,0.000999000999001,0.000999000999001,1.0,1.0
age-wise,0.000999000999001,0.000999000999001,1.0,1.0
aged,0.000999000999001,0.000999000999001,1.0,1.0
agenda,0.000999000999001,0.000999000999001,1.0,1.0
agent,0.000999000999001,0.0014985014985,0.666666666667,1.5
ages,0.000999000999001,0.002997002997,0.333333333333,3.0
ages-old,0.000999000999001,0.000999000999001,1.0,1.0
aggrandizing,0.000999000999001,0.000999000999001,1.0,1.0
aggressive,0.000999000999001,0.000999000999001,1.0,1.0
aggressively,0.000999000999001,0.0014985014985,0.666666666667,1.5
aging,0.000999000999001,0.000999000999001,1.0,1.0
agitprop,0.000999000999001,0.000999000999001,1.0,1.0
ago,0.0034965034965,0.003996003996,0.875,1.14285714286
agonizing,0.000999000999001,0.000999000999001,1.0,1.0
agreeable,0.000999000999001,0.000999000999001,1.0,1.0
agreeably,0.000999000999001,0.000999000999001,1.0,1.0
agreed,0.000999000999001,0.000999000999001,1.0,1.0
agreement,0.000999000999001,0.000999000999001,1.0,1.0
aground,0.000999000999001,0.000999000999001,1.0,1.0
ah,0.0014985014985,0.000999000999001,1.5,0.666666666667
ahead,0.000999000999001,0.000999000999001,1.0,1.0
ahhhh,0.000999000999001,0.000999000999001,1.0,1.0
aid,0.000999000999001,0.000999000999001,1.0,1.0
aidan,0.000999000999001,0.000999000999001,1.0,1.0
aids,0.000999000999001,0.000999000999001,1.0,1.0
aim,0.000999000999001,0.000999000999001,1.0,1.0
aimed,0.000999000999001,0.0014985014985,0.666666666667,1.5
aiming,0.000999000999001,0.000999000999001,1.0,1.0
aimlessly,0.0014985014985,0.000999000999001,1.5,0.666666666667
aims,0.0014985014985,0.000999000999001,1.5,0.666666666667
air,0.0044955044955,0.0034965034965,1.28571428571,0.777777777778
airhead,0.000999000999001,0.000999000999001,1.0,1.0
airless,0.0014985014985,0.000999000999001,1.5,0.666666666667
airs,0.0014985014985,0.000999000999001,1.5,0.666666666667
airtime,0.000999000999001,0.000999000999001,1.0,1.0
akin,0.0014985014985,0.000999000999001,1.5,0.666666666667
akira,0.000999000999001,0.000999000999001,1.0,1.0
al,0.000999000999001,0.0014985014985,0.666666666667,1.5
alabama,0.0014985014985,0.0014985014985,1.0,1.0
alacrity,0.000999000999001,0.000999000999001,1.0,1.0
alain,0.000999000999001,0.000999000999001,1.0,1.0
alan,0.000999000999001,0.001998001998,0.5,2.0
alarmingly,0.000999000999001,0.000999000999001,1.0,1.0
alarms,0.000999000999001,0.000999000999001,1.0,1.0
albeit,0.000999000999001,0.000999000999001,1.0,1.0
album,0.000999000999001,0.000999000999001,1.0,1.0
alchemy,0.000999000999001,0.000999000999001,1.0,1.0
alert,0.000999000999001,0.000999000999001,1.0,1.0
alexander,0.000999000999001,0.000999000999001,1.0,1.0
alfred,0.000999000999001,0.000999000999001,1.0,1.0
