,-1,1,neg_over_pos,pos_over_neg
aa,1.22737035901e-05,2.8938869532e-06,4.24125191777,0.235779439512
aaron,6.13685179503e-06,8.6816608596e-06,0.706875319628,1.41467663707
ab,4.60263884627e-05,3.76205303916e-05,1.2234380532,0.817368723642
aback,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abandoned,6.13685179503e-06,2.8938869532e-06,2.12062595888,0.471558879024
abandoning,6.13685179503e-06,2.8938869532e-06,2.12062595888,0.471558879024
abatement,9.20527769254e-06,2.8938869532e-06,3.18093893832,0.314372586016
abatements,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abbotsford,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abby,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abe,3.06842589751e-06,1.15755478128e-05,0.26507824486,3.77247103219
abercrombie,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
aberdeen,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abide,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abides,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abilities,6.13685179503e-06,2.8938869532e-06,2.12062595888,0.471558879024
ability,6.75053697453e-05,3.18327564852e-05,2.12062595888,0.471558879024
able,0.00155262350414,0.00134276354628,1.15628958534,0.864835256392
abo,3.06842589751e-06,8.6816608596e-06,0.353437659814,2.82935327414
aboard,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abolish,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abolished,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abominable,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abortion,6.13685179503e-06,5.7877739064e-06,1.06031297944,0.943117758048
abortions,6.13685179503e-06,2.8938869532e-06,2.12062595888,0.471558879024
abou,1.22737035901e-05,2.8938869532e-06,4.24125191777,0.235779439512
abouts,6.13685179503e-06,8.6816608596e-06,0.706875319628,1.41467663707
abraham,3.06842589751e-06,5.7877739064e-06,0.530156489721,1.8862355161
abreast,6.13685179503e-06,2.8938869532e-06,2.12062595888,0.471558879024
abroad,1.22737035901e-05,1.73633217192e-05,0.706875319628,1.41467663707
abrupt,6.13685179503e-06,2.8938869532e-06,2.12062595888,0.471558879024
abs,6.13685179503e-06,1.4469434766e-05,0.424125191777,2.35779439512
